movie_id,title,genres,year,director,avg_rating,n_ratings,poster_color,overview
185,River of Echo,Mystery|Crime,2021,Chaplin,4.1,104,#1f2041,"A mystery film directed by Chaplin, released in 2021. A mystery that keeps you guessing."
186,Legacy of Legacy,Sci-Fi,1978,Lynch,3.6,1123,#1f2041,"A sci-fi film directed by Lynch, released in 1978. An explosive action-adventure with heart."
187,The Golden Horizon,Sci-Fi|Adventure|Comedy,1976,Anderson,3.2,360,#e76f51,"A sci-fi film directed by Anderson, released in 1976. A sharp and darkly comic thriller."
188,Infinite Wild Hour,Sci-Fi|Action|Western,1983,Coppola,3.0,715,#1b4332,"A sci-fi film directed by Coppola, released in 1983. An explosive action-adventure with heart."
189,Ember of Labyrinth,Documentary|Horror|Western,2018,Hitchcock,4.5,1444,#4a4e69,"A documentary film directed by Hitchcock, released in 2018. A mystery that keeps you guessing."
190,The Golden Signal,Crime|Comedy|Western,2024,Kubrick,4.1,1463,#1b4332,"A crime film directed by Kubrick, released in 2024. A quiet, devastating character study."
191,Sacred Ancient Signal,Adventure|Mystery,2018,Coppola,3.4,858,#81b29a,"A adventure film directed by Coppola, released in 2018. A visually stunning journey into the unknown."
192,Horizon of Shadow,Adventure|Documentary|Fantasy,2016,Kubrick,4.2,488,#264653,"A adventure film directed by Kubrick, released in 2016. A sweeping epic that spans decades."
193,Storm of Echo,Sci-Fi|Mystery|Comedy,1990,Nolan,4.0,1137,#2a9d8f,"A sci-fi film directed by Nolan, released in 1990. A sharp and darkly comic thriller."
194,Lost Garden,Sci-Fi|Fantasy,1981,Kurosawa,4.3,60,#4a1942,"A sci-fi film directed by Kurosawa, released in 1981. A visually stunning journey into the unknown."
195,Distant Distant Kingdom,Documentary|Crime,2016,Nolan,4.6,233,#7b2d8b,"A documentary film directed by Nolan, released in 2016. A sharp and darkly comic thriller."
196,Eternal Garden,Action,2000,Hitchcock,3.6,1968,#22223b,"A action film directed by Hitchcock, released in 2000. A gripping tale of survival and redemption."
197,Forgotten Legacy,Adventure|Documentary|Crime,2004,Kurosawa,3.7,1061,#2b2d42,"A adventure film directed by Kurosawa, released in 2004. A mystery that keeps you guessing."
198,Kingdom of Echo,Animation|Sci-Fi,2004,Kurosawa,3.1,431,#1a1a2e,"A animation film directed by Kurosawa, released in 2004. A quiet, devastating character study."
199,Legacy of Kingdom,Mystery,2015,Lean,3.4,925,#6d2b3d,"A mystery film directed by Lean, released in 2015. A quiet, devastating character study."
200,Electric Echo,Animation,2005,Fincher,4.7,63,#4a4e69,"A animation film directed by Fincher, released in 2005. An explosive action-adventure with heart."
